PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40680256,SPP1+ Tumor-associated Macrophages Drive Immunotherapy Resistance via CD8+ T-Cell Dysfunction in Clear Cell Renal Cell Carcinoma.,2025Jul18,,,
40680249,Clinical Characterization and Long-Term Outcome in Children and Adults With Anti-AMPA Receptor Encephalitis.,2025Sep,"Troger Johannes, Bozzetti Silvia, Fuse Kenshiro, Friedman-Korn Tal, Iizuka Takahiro","Department of Neurology, San Maurizio Provincial Hospital, Bolzano, Italy.; Department of Neurology, Klinikum Klagenfurt, Austria.; Department of Neurology, Japanese Red Cross Aichi Medical Center Nagoya Daini Hospital, Japan.; Department of Neurology, Kitasato University School of Medicine, Sagamihara, Japan.; Department of Neurology and Laboratory of Neuroimmunology at the Agnes-Ginges Center for Neurogenetics, Hadassah-Hebrew University Medical Center, Jerusalem, Israel.",
40680158,Predicting Pathological Complete Response Following Neoadjuvant Therapy in Patients With Breast Cancer: Development of Machine Learning-Based Prediction Models in a Retrospective Study.,2025Jul18,Chen Cheng-Yu,"Department of Medical Imaging, Taipei Medical University Hospital, Taipei, Taiwan. Department of Radiology, School of Medicine, College of Medicine, Taipei Medical University, Taipei, Taiwan. Research Center for Artificial Intelligence in Medicine, Taipei Medical University, Taipei, Taiwan. Department of Radiology, National Defense Medical Center, Taipei, Taiwan. Translational Imaging Research Center, Taipei Medical University Hospital, Taipei, Taiwan.",
40680115,Temporally programmed STING nanoadjuvant delivery unlocks synergistic chemotherapy-induced antitumor immunity.,2025Jul18,"Lv Qingzhi, Yang Zimeng, Liu Hongzhuo, Wang Yongjun, Xu Zhaochu, Liu Hengzhi, He Zhonggui, Liu Yubo, Li Shuo, Li Wenxiao","Wuya College of Innovation, Shenyang Pharmaceutical University, Shenyang, Liaoning 110016, China.; School of Pharmacy, Binzhou Medical University, Yantai 264003, China.; Wuya College of Innovation, Shenyang Pharmaceutical University, Shenyang, Liaoning 110016, China. Joint International Research Laboratory of Intelligent Drug Delivery Systems, Ministry of Education, Shenyang Pharmaceutical University, Shenyang, Liaoning 110016, China.",
40680081,Type of pre-existing chronic conditions and their associations with Merkel cell carcinoma (MCC) treatment: Prediction and interpretation using machine learning methods.,2025,"Kamal Khalid, Mbous Yves Paul Vincent, LeMasters Traci, Bharmal Murtuza, Siddiqui Zasim Azhar, Sambamoorthi Usha","Department of Pharmaceutical Systems and Policy, School of Pharmacy, West Virginia University, Morgantown, West Virginia, USA. Department of Pharmacotherapy, College of Pharmacy, University of North Texas Health Sciences Center, Fort Worth, Texas, United States of America.; AstraZeneca, Oncology, Outcomes Research, Boston, Massachusetts, United States of America.; Department of Pharmaceutical Systems and Policy, School of Pharmacy, West Virginia University, Morgantown, West Virginia, USA.; Department of Pharmaceutical Systems and Policy, School of Pharmacy, West Virginia University, Morgantown, West Virginia, USA. OPEN Health, Evidence and Access, Real World Evidence, New York, United States of America.",
40679941,"Prevention of cancer therapy-related cardiac dysfunction and heart failure in cancer patients and survivors. A Clinical Consensus Statement of the Heart Failure Association, the European Association of Preventive Cardiology of the ESC, and the ESC Council of Cardio-Oncology.",2025Jul18,Rosano Giuseppe,"Department of Human Sciences and Promotion of Quality of Life, Chair of Pharmacology, San Raffaele University of Rome, Rome, Italy. IRCCS San Raffaele, Rome, Italy.",
40679936,Small Extracellular Vesicles-Based Drug Delivery Systems for Therapies of Gastrointestinal Tumors.,2025Jul18,,,
40679809,AI Prognostication in Nonsmall Cell Lung Cancer: A Systematic Review.,2025Jul18,,,
40679708,Tumor infiltration therapy: from FDA approval to next-generation approaches.,2025Jul18,"Khan Huda, Durgam Akshaya, Unnisa Adeeb, Inapanuri Bhanu, Shaik Rahaman, Royyala Sai Abhistika","Department of Pharmacology, St. Pauls College of Pharmacy, Turkayamjal, Hyderabad, Telangana, 501510, India.; Department of Pharmacology, School of Pharmaceutical Education & Research, Jamia Hamdard, New Delhi, 110062, India. shaikrahaman_sch@jamiahamdard.ac.in.",shaikrahaman_sch@jamiahamdard.ac.in.
40679695,Systemic strategies for osteosarcoma: advances and future directions.,2025Jul18,,,
40679648,Immunopathological insights into endometriosis: from research advances to future treatments.,2025Jul18,"Zhang Songying, Ye Zi, Dai Yangyang, Lin Xiang","Assisted Reproduction Unit, Department of Obstetrics and Gynecology, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, 310016, China. zhangsongying@zju.edu.cn. Zhejiang Provincial Clinical Research Center for Reproductive Health and Disease, Hangzhou, 310016, China. zhangsongying@zju.edu.cn. Zhejiang Key Laboratory of Precise Protection and Promotion of Fertility, Hangzhou, 310016, China. zhangsongying@zju.edu.cn.; Assisted Reproduction Unit, Department of Obstetrics and Gynecology, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, 310016, China. Zhejiang Provincial Clinical Research Center for Reproductive Health and Disease, Hangzhou, 310016, China. Zhejiang Key Laboratory of Precise Protection and Promotion of Fertility, Hangzhou, 310016, China.; Assisted Reproduction Unit, Department of Obstetrics and Gynecology, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, 310016, China. myhhbllm@zju.edu.cn. Zhejiang Provincial Clinical Research Center for Reproductive Health and Disease, Hangzhou, 310016, China. myhhbllm@zju.edu.cn. Zhejiang Key Laboratory of Precise Protection and Promotion of Fertility, Hangzhou, 310016, China. myhhbllm@zju.edu.cn.",zhangsongying@zju.edu.cn.
40679432,Research progress of norcantharidin nanodrugs for tumor treatment.,2025Jul18,,,
40679370,A Scoring System for Risk Stratification in Intrahepatic Cholangiocarcinoma after Immunotherapy.,2025Jul,,,
40679256,Hyponatremia predicts immunotherapy resistance in biliary tract cancer.,2025Dec,,,
40679247,11th Immunotherapy of Cancer conference (ITOC): A meeting report.,2025Dec,"Kobold Sebastian, Michaelides Stefanos, Hartmann Viktoria","Division of Clinical Pharmacology, LMU University Hospital, LMU Munich, Munich, Germany. German Cancer Consortium (DKTK), Partner Site Munich, A Partnership Between the DKFZ Heidelberg and the LMU University Hospital, LMU Munich, Munich, Germany. German Center for Lung Research (DZL), Partner Site, Munich, Germany. Research Center for Environmental Health Neuherberg, Oberschleißheim, Germany.; Division of Clinical Pharmacology, LMU University Hospital, LMU Munich, Munich, Germany.",
40679093,Targeting IGF1R Overcomes Armored and Cold Tumor Microenvironment and Boosts Immune Checkpoint Blockade in Triple-Negative Breast Cancer.,2025Jul18,,,
40679079,METTL3/ALKBH5-Mediated N6-Methyladenosine Modification Drives Macrophage M1 Polarization via the SLC15A3-TASL-IRF5 Signaling Axis in Psoriasis.,2025Jul18,"Chen Kechen, Lin Ying, Liu Yuchen, Wang Xiaobo, Zhang Xin, Rong Zhili, Chen Shijun","Cancer Research Institute, School of Basic Medical Sciences, State Key Laboratory of Multi-organ Injury Prevention and Treatment, Guangdong Province Key Laboratory of Immune Regulation and Immunotherapy, Southern Medical University, Guangzhou, 510515, China.; Dermatology Hospital, Southern Medical University, Guangzhou, 510091, China. Cancer Research Institute, School of Basic Medical Sciences, State Key Laboratory of Multi-organ Injury Prevention and Treatment, Guangdong Province Key Laboratory of Immune Regulation and Immunotherapy, Southern Medical University, Guangzhou, 510515, China.",
40679042,Biohybrid Microrobot Enteric-Coated Microcapsule for Oral Treatment of Colorectal Cancer.,2025Jul18,,,
