PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40680059,Urban environmental and population factors as determinants of COVID-19 severity: A spatially-resolved probabilistic modeling approach.,2025Jul,,,
40680016,Impact of SARS-CoV-2 on healthcare and essential workers: A longitudinal study of PROMIS-29 outcomes.,2025,"Elmore Joann, Santangelo Michelle, Gottlieb Michael, Weinstein Robert A, Gatling Kristyn, Wisk Lauren E","Department of Emergency Medicine, Rush University Medical Center, Chicago, Illinois, United States of America.; Division of Infectious Diseases, Cook County Hospital, Chicago, Illinois, United States of America. Division of Infectious Diseases, Department of Internal Medicine, Rush University Medical Center, Chicago, Illinois, United States of America.; Division of Infectious Diseases, Department of Internal Medicine, Rush University Medical Center, Chicago, Illinois, United States of America.; Division of General Internal Medicine and Health Services Research, David Geffen School of Medicine at the University of California, Los Angeles, Los Angeles, United States of America. Department of Health Policy and Management, Fielding School of Public Health at the University of California, Los Angeles, Los Angeles, United States of America.",
40679527,Differentiation of the Cytokine Profile Modified by SARS-CoV-2 and Influenza Virus in an In Vitro Experiment.,2025Jul18,"Starkova K G, Zaitseva N V, Dolgikh O V, Alekseev V B","Federal Scientific Center for Medical and Preventive Health Risk Management Technologies, Federal Service for Surveillance on Consumer Rights Protection and Human Wellbeing, Perm, Russia. oleg@fcrisk.ru.; Federal Scientific Center for Medical and Preventive Health Risk Management Technologies, Federal Service for Surveillance on Consumer Rights Protection and Human Wellbeing, Perm, Russia.",oleg@fcrisk.ru.
40679035,The impact of COVID-19 on the clinical course of acute mastoiditis - analysis of children hospitalized in the University Department in years 2018-2022.,2025Jul02,,,
40678963,"Reply to Correspondence on ""Comparison of Perceived Adverse Events After COVID-19 Vaccination Between Pregnant and NonPregnant Women Using Two Cohort Studies in The Netherlands"".",2025Jul,"van Hunsel Florence, Maas Veronique Y F, Woestenberg Petra J","Netherlands Pharmacovigilance Centre Lareb, 's-Hertogenbosch, the Netherlands.; Netherlands Pharmacovigilance Centre Lareb, 's-Hertogenbosch, the Netherlands. Groningen Research Institute of Pharmacy, PharmacoTherapy, -Epidemiology and -Economics, University of Groningen, Groningen, the Netherlands.",
40678958,"LC-MS/MS Characterization of SOBERANA 02, a Receptor Binding Domain-Tetanus Toxoid Conjugate Vaccine Against SARS-CoV-2.",2025Jul18,"Rodríguez-Ulloa Arielis, Carvalho Paulo, Ramos-Bermúdez Pablo E, Besada Vladimir, Batista Michel, González Luis Javier, Pousa Satomy","Carlos Chagas Institute/FioCruz Rua Professor Algacyr Munhoz Mader, Curitiba, Brazil.; Center for Genetic Engineering and Biotechnology, Havana, Cuba.",
40678819,"Understanding Vaccine Disparities in the Bronx, New York, Through a Mixed Methods Analysis of Community and Provider Perspectives.",2025Aug,,,
40678637,Bridging immunization gaps: lessons from Zambia's 2024 measles-rubella supplementary immunisation activity.,2025,,,
40678053,The Impact of the COVID-19 Pandemic on Influenza Vaccination Coverage Among Young U.S. Children: A Socioeconomic Analysis.,2025Feb,,,
40677977,Why Randomized Controlled Trials are Necessary to Address the Effectiveness of Non-Pharmacological Interventions During a Public Health Emergency Such as COVID-19.,2024Dec,,,
